country,sex,birthyear,age,life_satisfaction,work_importance,financial_satisfaction,religiousity,political_scale,marital_status,employment,work_importance_r,age_group
SGP,Female,1951,69,7,2,7,A religious person,5,Married,Homemaker not otherwise employed,3,61+
SGP,Female,1951,69,8,3,8,A religious person,9,Single,Retired/pensioned,2,61+
SGP,Female,1951,69,9,3,7,A religious person,8,Married,Part time,2,61+
SGP,Female,1951,69,8,3,8,An atheist,9,Married,Retired/pensioned,2,61+
SGP,Male,1951,69,9,3,7,A religious person,3,Married,Retired/pensioned,2,61+
CAN,Female,1952,68,9,3,5,An atheist,5,Divorced,Retired/pensioned,2,61+
CAN,Female,1952,68,8,2,7,A religious person,6,Married,Retired/pensioned,3,61+
CAN,Male,1952,68,8,4,3,Not a religious person,6,Single,Retired/pensioned,1,61+
CAN,Male,1951,68,8,4,8,Not a religious person,7,Married,Retired/pensioned,1,61+
CAN,Female,1952,68,8,3,8,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Female,1952,68,8,1,8,A religious person,9,Married,Retired/pensioned,4,61+
CAN,Male,1951,68,9,3,10,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1951,68,7,4,7,Not a religious person,7,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,9,2,9,Not a religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1952,68,8,3,6,Not a religious person,5,Married,Retired/pensioned,2,61+
CAN,Female,1952,68,9,2,1,A religious person,5,Widowed,Retired/pensioned,3,61+
CAN,Female,1952,68,8,1,8,A religious person,9,Widowed,Part time,4,61+
CAN,Male,1951,68,10,1,9,An atheist,5,Married,Retired/pensioned,4,61+
CAN,Male,1948,68,9,1,8,Not a religious person,6,Single,Retired/pensioned,4,61+
CAN,Male,1952,68,9,1,8,A religious person,7,Married,Retired/pensioned,4,61+
CAN,Male,1952,68,7,2,7,An atheist,7,Married,Retired/pensioned,3,61+
CAN,Female,1952,68,9,3,9,A religious person,6,Married,Retired/pensioned,2,61+
CAN,Female,1952,68,3,1,4,Not a religious person,3,Divorced,Retired/pensioned,4,61+
CAN,Female,1951,68,7,2,4,A religious person,6,Widowed,Full time,3,61+
CAN,Male,1952,68,8,4,7,Not a religious person,5,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,7,4,9,An atheist,6,Married,Retired/pensioned,1,61+
CAN,Female,1951,68,8,4,8,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1952,68,9,1,9,A religious person,9,Married,Retired/pensioned,4,61+
CAN,Female,1952,68,6,4,7,Not a religious person,9,Married,Retired/pensioned,1,61+
CAN,Female,1952,68,8,2,8,An atheist,3,Divorced,Retired/pensioned,3,61+
CAN,Female,1952,68,6,4,6,Not a religious person,4,Single,Retired/pensioned,1,61+
CAN,Female,1952,68,7,1,5,A religious person,1,Widowed,Retired/pensioned,4,61+
CAN,Male,1952,68,7,1,9,A religious person,3,Single,Retired/pensioned,4,61+
CAN,Female,1952,68,8,4,8,Not a religious person,2,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,9,4,9,An atheist,1,Separated,Retired/pensioned,1,61+
CAN,Male,1952,68,10,4,10,A religious person,4,Married,Retired/pensioned,1,61+
CAN,Female,1952,68,8,1,3,Not a religious person,5,Living together as married,Full time,4,61+
CAN,Male,1952,68,5,4,5,An atheist,6,Living together as married,Retired/pensioned,1,61+
CAN,Male,1952,68,8,3,5,Not a religious person,4,Single,Retired/pensioned,2,61+
CAN,Male,1952,68,8,4,8,An atheist,2,Married,Retired/pensioned,1,61+
CAN,Female,1952,68,8,2,6,A religious person,5,Separated,Retired/pensioned,3,61+
CAN,Male,1952,68,9,3,8,Not a religious person,5,Living together as married,Retired/pensioned,2,61+
CAN,Male,1951,68,9,4,9,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1952,68,5,4,4,A religious person,5,Separated,Retired/pensioned,1,61+
CAN,Male,1952,68,7,2,8,An atheist,5,Living together as married,Self employed,3,61+
CAN,Male,1951,68,8,4,8,Not a religious person,7,Divorced,Retired/pensioned,1,61+
CAN,Female,1952,68,7,2,9,An atheist,2,Divorced,Retired/pensioned,3,61+
CAN,Male,1952,68,8,3,7,Not a religious person,3,Married,Retired/pensioned,2,61+
CAN,Male,1952,68,8,4,9,Not a religious person,4,Married,Retired/pensioned,1,61+
CAN,Female,1951,68,8,2,7,A religious person,5,Married,Self employed,3,61+
CAN,Female,1952,68,9,2,10,A religious person,4,Married,Part time,3,61+
CAN,Male,1952,68,4,3,9,A religious person,9,Married,Retired/pensioned,2,61+
CAN,Male,1952,68,3,1,1,Not a religious person,1,Divorced,Part time,4,61+
CAN,Female,1952,68,7,1,6,A religious person,8,Married,Retired/pensioned,4,61+
CAN,Female,1952,68,8,3,7,A religious person,7,Single,Full time,2,61+
CAN,Male,1951,68,8,2,8,Not a religious person,9,Married,Part time,3,61+
CAN,Female,1952,68,8,4,8,An atheist,7,Separated,Retired/pensioned,1,61+
CAN,Male,1952,68,8,3,8,A religious person,8,Married,Retired/pensioned,2,61+
CAN,Male,1952,68,1,4,3,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,7,4,7,An atheist,5,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,8,4,3,An atheist,8,Married,Retired/pensioned,1,61+
CAN,Male,1951,68,9,4,10,Not a religious person,8,Married,Retired/pensioned,1,61+
CAN,Male,1951,68,9,3,8,An atheist,8,Married,Part time,2,61+
CAN,Female,1952,68,8,4,7,A religious person,5,Divorced,Retired/pensioned,1,61+
CAN,Male,1952,68,8,1,9,An atheist,3,Divorced,Retired/pensioned,4,61+
CAN,Male,1952,68,9,1,8,Not a religious person,9,Divorced,Retired/pensioned,4,61+
CAN,Male,1952,68,8,4,7,Not a religious person,3,Divorced,Retired/pensioned,1,61+
CAN,Male,1952,68,8,2,9,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1952,68,9,4,9,A religious person,8,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,9,1,9,Not a religious person,5,Married,Retired/pensioned,4,61+
CAN,Male,1951,68,7,4,9,Not a religious person,5,Married,Retired/pensioned,1,61+
CAN,Male,1952,68,7,1,4,Not a religious person,4,Married,Retired/pensioned,4,61+
CAN,Female,1952,68,8,2,7,A religious person,6,Married,Retired/pensioned,3,61+
CAN,Female,1952,68,8,3,8,Not a religious person,5,Living together as married,Retired/pensioned,2,61+
NZL,Male,1951,68,10,4,9,Not a religious person,6,Married,Retired/pensioned,1,61+
NZL,Female,1951,68,7,3,5,A religious person,3,Married,Retired/pensioned,2,61+
NZL,Female,1951,68,4,3,8,Don't know,4,Widowed,Retired/pensioned,2,61+
NZL,Female,1951,68,6,1,5,A religious person,8,Divorced,Full time,4,61+
NZL,Female,1951,68,8,1,7,Not a religious person,7,Married,Full time,4,61+
NZL,Male,1951,68,8,1,6,Not a religious person,4,Married,Full time,4,61+
NZL,Female,1951,68,8,4,8,An atheist,5,Married,Retired/pensioned,1,61+
NZL,Female,1951,68,5,2,5,Not a religious person,2,Separated,Part time,3,61+
NZL,Male,1951,68,10,4,10,Not a religious person,4,Married,Retired/pensioned,1,61+
NZL,Female,1951,68,9,2,9,Not a religious person,8,Widowed,Part time,3,61+
NZL,Male,1951,68,9,2,9,Not a religious person,6,Single,Full time,3,61+
NZL,Male,1951,68,9,4,8,Not a religious person,7,Married,Part time,1,61+
NZL,Male,1951,68,6,4,10,An atheist,5,Married,Retired/pensioned,1,61+
NZL,Male,1951,68,10,2,5,A religious person,5,Married,Retired/pensioned,3,61+
NZL,Male,1951,68,7,2,6,Not a religious person,3,Married,Retired/pensioned,3,61+
NZL,Male,1951,68,8,2,6,An atheist,3,Single,Part time,3,61+
SGP,Male,1952,68,7,2,5,A religious person,5,Single,Part time,3,61+
SGP,Male,1952,68,5,4,5,A religious person,5,Divorced,Retired/pensioned,1,61+
SGP,Male,1951,68,6,1,5,A religious person,2,Married,Retired/pensioned,4,61+
SGP,Female,1951,68,9,1,6,A religious person,9,Married,Retired/pensioned,4,61+
SGP,Female,1951,68,8,2,8,A religious person,8,Divorced,Homemaker not otherwise employed,3,61+
SGP,Female,1951,68,8,2,8,A religious person,7,Single,Full time,3,61+
SGP,Male,1952,68,7,3,7,A religious person,6,Married,Retired/pensioned,2,61+
SGP,Male,1951,68,7,2,7,Not a religious person,4,Married,Full time,3,61+
SGP,Male,1951,68,7,4,7,A religious person,5,Married,Full time,1,61+
SGP,Male,1951,68,9,1,9,A religious person,5,Married,Retired/pensioned,4,61+
SGP,Male,1951,68,4,3,3,A religious person,5,Married,Retired/pensioned,2,61+
SGP,Female,1951,68,4,4,1,A religious person,1,Widowed,Retired/pensioned,1,61+
SGP,Male,1951,68,8,2,6,A religious person,1,Married,Retired/pensioned,3,61+
SGP,Male,1951,68,8,2,8,A religious person,3,Married,Retired/pensioned,3,61+
SGP,Male,1951,68,8,1,8,A religious person,2,Married,Retired/pensioned,4,61+
SGP,Female,1951,68,9,2,8,A religious person,4,Married,Retired/pensioned,3,61+
SGP,Female,1951,68,10,2,4,A religious person,7,Married,Part time,3,61+
SGP,Female,1952,68,5,3,3,A religious person,5,Widowed,Retired/pensioned,2,61+
SGP,Female,1951,68,5,2,5,Not a religious person,5,Married,Homemaker not otherwise employed,3,61+
SGP,Male,1952,68,6,1,3,A religious person,6,Married,Retired/pensioned,4,61+
SGP,Male,1952,68,5,1,2,A religious person,5,Married,Full time,4,61+
SGP,Male,1952,68,8,2,3,A religious person,8,Divorced,Full time,3,61+
SGP,Male,1952,68,6,3,6,A religious person,6,Married,Retired/pensioned,2,61+
SGP,Male,1952,68,10,2,10,A religious person,2,Married,Retired/pensioned,3,61+
SGP,Female,1952,68,9,2,10,A religious person,6,Married,Part time,3,61+
SGP,Male,1952,68,7,3,3,Not a religious person,3,Married,Self employed,2,61+
SGP,Female,1952,68,8,1,8,Not a religious person,5,Widowed,Retired/pensioned,4,61+
SGP,Male,1952,68,5,3,5,Not a religious person,7,Married,Retired/pensioned,2,61+
SGP,Male,1952,68,10,1,10,Not a religious person,6,Married,Full time,4,61+
SGP,Female,1952,68,6,3,6,An atheist,6,Married,Homemaker not otherwise employed,2,61+
CAN,Male,1953,67,8,1,2,A religious person,4,Married,Part time,4,61+
CAN,Female,1953,67,6,4,8,Not a religious person,3,Divorced,Retired/pensioned,1,61+
CAN,Male,1953,67,8,1,7,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Female,1953,67,7,2,6,A religious person,1,Widowed,Retired/pensioned,3,61+
CAN,Male,1953,67,8,2,7,An atheist,4,Single,Retired/pensioned,3,61+
CAN,Male,1953,67,8,4,8,Not a religious person,2,Divorced,Retired/pensioned,1,61+
CAN,Female,1952,67,8,3,7,Not a religious person,3,Married,Retired/pensioned,2,61+
CAN,Female,1953,67,7,1,7,A religious person,7,Married,Part time,4,61+
CAN,Male,1952,67,8,2,10,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Female,1953,67,6,2,7,Not a religious person,5,Widowed,Retired/pensioned,3,61+
CAN,Female,1952,67,10,2,10,A religious person,6,Divorced,Retired/pensioned,3,61+
CAN,Male,1952,67,9,1,9,Not a religious person,4,Married,Full time,4,61+
CAN,Male,1953,67,7,3,9,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1953,67,8,1,8,A religious person,7,Married,Full time,4,61+
CAN,Female,1953,67,9,3,9,An atheist,3,Living together as married,Retired/pensioned,2,61+
CAN,Female,1953,67,8,1,4,A religious person,2,Single,Unemployed,4,61+
CAN,Male,1953,67,8,4,10,Not a religious person,6,Married,Retired/pensioned,1,61+
CAN,Female,1953,67,6,4,6,Not a religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1953,67,6,2,6,A religious person,8,Divorced,Retired/pensioned,3,61+
CAN,Female,1953,67,6,1,6,A religious person,6,Divorced,Self employed,4,61+
CAN,Male,1953,67,8,4,8,An atheist,6,Living together as married,Retired/pensioned,1,61+
CAN,Male,1953,67,8,2,8,A religious person,7,Married,Retired/pensioned,3,61+
CAN,Female,1952,67,8,2,7,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1953,67,9,3,9,A religious person,3,Divorced,Retired/pensioned,2,61+
CAN,Female,1953,67,7,2,8,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Female,1953,67,10,1,10,A religious person,9,Married,Retired/pensioned,4,61+
CAN,Male,1953,67,8,4,4,Not a religious person,8,Separated,Retired/pensioned,1,61+
CAN,Female,1953,67,7,4,5,A religious person,4,Married,Retired/pensioned,1,61+
CAN,Female,1952,67,8,2,8,A religious person,3,Married,Retired/pensioned,3,61+
CAN,Male,1952,67,8,2,7,Not a religious person,8,Married,Full time,3,61+
CAN,Female,1952,67,7,3,7,Not a religious person,6,Married,Retired/pensioned,2,61+
CAN,Male,1952,67,8,4,10,A religious person,3,Married,Retired/pensioned,1,61+
CAN,Female,1952,67,10,1,10,Not a religious person,6,Living together as married,Self employed,4,61+
CAN,Male,1953,67,8,2,8,A religious person,8,Married,Retired/pensioned,3,61+
CAN,Male,1953,67,8,3,8,Not a religious person,4,Married,Retired/pensioned,2,61+
CAN,Male,1953,67,7,2,4,Not a religious person,5,Living together as married,Full time,3,61+
CAN,Male,1953,67,7,4,1,An atheist,1,Married,Retired/pensioned,1,61+
CAN,Female,1953,67,8,2,7,A religious person,7,Divorced,Part time,3,61+
CAN,Female,1953,67,2,3,1,A religious person,5,Single,Full time,2,61+
CAN,Female,1953,67,7,1,5,Not a religious person,5,Divorced,Self employed,4,61+
CAN,Male,1953,67,8,4,7,A religious person,4,Married,Retired/pensioned,1,61+
CAN,Female,1952,67,8,2,9,Not a religious person,7,Married,Retired/pensioned,3,61+
CAN,Female,1953,67,8,4,8,A religious person,10,Married,Retired/pensioned,1,61+
CAN,Male,1953,67,6,3,5,Not a religious person,6,Single,Retired/pensioned,2,61+
CAN,Male,1953,67,9,3,8,Not a religious person,6,Married,Retired/pensioned,2,61+
CAN,Female,1953,67,6,2,6,Not a religious person,4,Married,Retired/pensioned,3,61+
CAN,Female,1953,67,8,2,8,Not a religious person,5,Married,Retired/pensioned,3,61+
CAN,Male,1953,67,8,2,10,An atheist,3,Widowed,Retired/pensioned,3,61+
CAN,Male,1953,67,8,3,7,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1952,67,9,1,8,Not a religious person,7,Married,Retired/pensioned,4,61+
CAN,Female,1953,67,7,2,7,A religious person,8,Married,Retired/pensioned,3,61+
CAN,Male,1953,67,8,4,9,Not a religious person,3,Widowed,Retired/pensioned,1,61+
CAN,Male,1953,67,10,1,9,Not a religious person,8,Married,Full time,4,61+
CAN,Male,1952,67,9,2,10,A religious person,9,Married,Retired/pensioned,3,61+
CAN,Male,1952,67,8,1,6,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Female,1953,67,7,4,8,Not a religious person,5,Divorced,Retired/pensioned,1,61+
CAN,Male,1952,67,10,2,10,An atheist,2,Married,Retired/pensioned,3,61+
CAN,Female,1953,67,5,1,5,A religious person,6,Married,Part time,4,61+
CAN,Male,1953,67,8,2,7,A religious person,6,Married,Retired/pensioned,3,61+
NZL,Male,1952,67,8,3,7,Not a religious person,6,Married,Retired/pensioned,2,61+
NZL,Female,1952,67,8,2,6,Not a religious person,3,Single,Retired/pensioned,3,61+
NZL,Female,1952,67,8,2,7,Not a religious person,3,Married,Part time,3,61+
NZL,Female,1952,67,9,4,10,Not a religious person,5,Married,Retired/pensioned,1,61+
NZL,Female,1952,67,9,2,7,Not a religious person,3,Living together as married,Retired/pensioned,3,61+
NZL,Female,1952,67,10,1,2,Don't know,5,Married,Retired/pensioned,4,61+
NZL,Female,1952,67,8,2,8,Not a religious person,2,Married,Part time,3,61+
NZL,Male,1952,67,9,1,7,A religious person,8,Married,Part time,4,61+
NZL,Male,1952,67,6,3,6,A religious person,5,Married,Unemployed,2,61+
NZL,Female,1952,67,9,4,10,An atheist,5,Single,Retired/pensioned,1,61+
NZL,Male,1952,67,7,1,7,Don't know,5,Single,Retired/pensioned,4,61+
NZL,Male,1952,67,10,2,10,Not a religious person,6,Married,Retired/pensioned,3,61+
NZL,Female,1952,67,6,2,6,A religious person,4,Married,Retired/pensioned,3,61+
NZL,Male,1952,67,8,1,9,An atheist,3,Married,Full time,4,61+
NZL,Male,1952,67,8,2,7,Not a religious person,10,Divorced,Part time,3,61+
NZL,Male,1952,67,9,2,9,A religious person,3,Married,Retired/pensioned,3,61+
SGP,Male,1952,67,7,1,8,An atheist,3,Married,Part time,4,61+
SGP,Female,1953,67,10,1,10,A religious person,3,Single,Part time,4,61+
SGP,Male,1953,67,8,2,10,A religious person,7,Married,Retired/pensioned,3,61+
SGP,Male,1952,67,8,1,8,A religious person,7,Married,Full time,4,61+
SGP,Male,1953,67,8,4,7,Not a religious person,5,Married,Retired/pensioned,1,61+
SGP,Male,1952,67,8,1,7,Not a religious person,8,Married,Retired/pensioned,4,61+
SGP,Male,1953,67,9,3,9,A religious person,8,Married,Retired/pensioned,2,61+
SGP,Male,1953,67,6,1,5,A religious person,9,Married,Part time,4,61+
SGP,Female,1952,67,6,2,7,A religious person,3,Married,Retired/pensioned,3,61+
SGP,Female,1952,67,4,2,4,A religious person,3,Single,Unemployed,3,61+
SGP,Male,1953,67,8,3,8,An atheist,5,Married,Retired/pensioned,2,61+
SGP,Female,1952,67,8,1,7,A religious person,4,Married,Retired/pensioned,4,61+
SGP,Male,1953,67,6,2,6,A religious person,5,Married,Full time,3,61+
SGP,Male,1953,67,9,2,8,An atheist,5,Married,Part time,3,61+
SGP,Male,1952,67,7,2,7,A religious person,6,Married,Full time,3,61+
SGP,Female,1953,67,8,1,6,A religious person,5,Single,Retired/pensioned,4,61+
SGP,Female,1953,67,8,2,10,A religious person,1,Single,Retired/pensioned,3,61+
SGP,Female,1952,67,7,3,6,A religious person,6,Widowed,Unemployed,2,61+
SGP,Female,1952,67,7,4,7,A religious person,5,Single,Part time,1,61+
SGP,Male,1953,67,5,2,5,A religious person,6,Living together as married,Retired/pensioned,3,61+
SGP,Male,1952,67,4,1,4,A religious person,8,Married,Retired/pensioned,4,61+
SGP,Female,1952,67,6,3,6,A religious person,6,Married,Retired/pensioned,2,61+
SGP,Male,1952,67,3,1,1,A religious person,5,Married,Full time,4,61+
SGP,Male,1953,67,8,2,8,A religious person,5,Married,Full time,3,61+
SGP,Female,1953,67,7,2,7,A religious person,7,Married,Part time,3,61+
SGP,Female,1953,67,7,2,8,A religious person,5,Married,Retired/pensioned,3,61+
SGP,Female,1953,67,8,3,7,A religious person,8,Married,Retired/pensioned,2,61+
SGP,Male,1953,67,8,2,8,A religious person,5,Married,Full time,3,61+
CAN,Male,1954,66,8,4,9,An atheist,1,Widowed,Retired/pensioned,1,61+
CAN,Male,1953,66,9,3,9,Not a religious person,6,Married,Unemployed,2,61+
CAN,Female,1954,66,7,1,7,Not a religious person,5,Widowed,Full time,4,61+
CAN,Male,1954,66,8,4,8,Not a religious person,3,Single,Retired/pensioned,1,61+
CAN,Male,1954,66,9,1,2,Not a religious person,9,Married,Self employed,4,61+
CAN,Male,1953,66,8,2,7,Not a religious person,4,Married,Full time,3,61+
CAN,Male,1954,66,8,4,7,Not a religious person,5,Divorced,Retired/pensioned,1,61+
CAN,Female,1953,66,8,4,8,A religious person,3,Married,Retired/pensioned,1,61+
CAN,Female,1954,66,9,3,7,An atheist,8,Married,Retired/pensioned,2,61+
CAN,Female,1954,66,7,2,8,Not a religious person,4,Married,Part time,3,61+
CAN,Female,1954,66,5,4,6,A religious person,3,Married,Retired/pensioned,1,61+
CAN,Female,1954,66,5,2,2,A religious person,5,Divorced,Part time,3,61+
CAN,Female,1954,66,3,2,8,An atheist,3,Single,Other,3,61+
CAN,Female,1954,66,7,2,7,Not a religious person,8,Married,Retired/pensioned,3,61+
CAN,Female,1954,66,5,2,4,Not a religious person,5,Single,Other,3,61+
CAN,Female,1954,66,8,2,5,Not a religious person,5,Divorced,Full time,3,61+
CAN,Male,1954,66,8,3,6,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Female,1954,66,10,1,10,Not a religious person,5,Married,Retired/pensioned,4,61+
CAN,Male,1954,66,8,3,9,An atheist,3,Single,Retired/pensioned,2,61+
CAN,Female,1954,66,7,4,8,Not a religious person,7,Widowed,Retired/pensioned,1,61+
CAN,Male,1954,66,6,1,4,A religious person,6,Married,Retired/pensioned,4,61+
CAN,Male,1954,66,5,3,5,Not a religious person,5,Living together as married,Retired/pensioned,2,61+
CAN,Male,1953,66,8,3,9,Not a religious person,4,Married,Retired/pensioned,2,61+
CAN,Male,1954,66,7,3,6,An atheist,8,Married,Self employed,2,61+
CAN,Female,1954,66,7,3,8,A religious person,3,Married,Retired/pensioned,2,61+
CAN,Female,1954,66,6,4,7,An atheist,2,Widowed,Retired/pensioned,1,61+
CAN,Female,1954,66,8,3,8,Not a religious person,5,Living together as married,Retired/pensioned,2,61+
CAN,Male,1954,66,4,1,4,A religious person,5,Widowed,Retired/pensioned,4,61+
CAN,Female,1954,66,8,3,8,A religious person,5,Married,Retired/pensioned,2,61+
CAN,Male,1954,66,9,2,9,A religious person,3,Living together as married,Self employed,3,61+
CAN,Female,1954,66,9,3,10,Not a religious person,5,Married,Retired/pensioned,2,61+
CAN,Female,1953,66,1,4,1,A religious person,5,Married,Retired/pensioned,1,61+
CAN,Male,1953,66,3,3,2,A religious person,7,Married,Retired/pensioned,2,61+
CAN,Male,1954,66,9,2,8,Not a religious person,5,Married,Retired/pensioned,3,61+
CAN,Female,1954,66,8,4,9,Not a religious person,5,Single,Retired/pensioned,1,61+
CAN,Female,1953,66,8,4,7,Not a religious person,3,Married,Retired/pensioned,1,61+
CAN,Female,1954,66,3,4,2,A religious person,2,Widowed,Retired/pensioned,1,61+
CAN,Female,1954,66,8,2,8,A religious person,6,Married,Part time,3,61+
CAN,Male,1954,66,8,2,8,Not a religious person,5,Married,Retired/pensioned,3,61+
CAN,Female,1954,66,8,1,10,A religious person,8,Married,Retired/pensioned,4,61+
CAN,Female,1954,66,8,1,6,A religious person,5,Separated,Retired/pensioned,4,61+
CAN,Female,1954,66,8,2,8,A religious person,6,Single,Retired/pensioned,3,61+
CAN,Female,1954,66,8,3,7,Not a religious person,5,Married,Retired/pensioned,2,61+
CAN,Female,1954,66,9,4,10,Not a religious person,5,Married,Retired/pensioned,1,61+
CAN,Female,1954,66,9,1,9,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Female,1954,66,7,2,9,Not a religious person,4,Married,Retired/pensioned,3,61+
CAN,Male,1953,66,7,1,7,Not a religious person,8,Married,Retired/pensioned,4,61+
CAN,Female,1953,66,9,2,8,Not a religious person,3,Married,Retired/pensioned,3,61+
CAN,Male,1954,66,8,2,8,Not a religious person,8,Married,Full time,3,61+
CAN,Male,1953,66,5,4,4,A religious person,6,Divorced,Retired/pensioned,1,61+
CAN,Female,1954,66,8,2,10,A religious person,5,Widowed,Retired/pensioned,3,61+
CAN,Male,1954,66,10,3,10,Not a religious person,5,Married,Retired/pensioned,2,61+
CAN,Female,1954,66,8,4,9,Not a religious person,3,Single,Retired/pensioned,1,61+
CAN,Female,1954,66,9,3,7,A religious person,7,Married,Retired/pensioned,2,61+
CAN,Female,1954,66,8,2,9,A religious person,7,Single,Retired/pensioned,3,61+
CAN,Male,1954,66,8,3,8,Not a religious person,6,Married,Retired/pensioned,2,61+
CAN,Male,1954,66,8,2,7,An atheist,4,Divorced,Retired/pensioned,3,61+
CAN,Male,1954,66,8,4,2,Not a religious person,7,Married,Retired/pensioned,1,61+
CAN,Male,1954,66,5,4,5,A religious person,6,Married,Retired/pensioned,1,61+
CAN,Male,1954,66,7,3,7,A religious person,5,Living together as married,Retired/pensioned,2,61+
CAN,Female,1953,66,8,2,5,A religious person,5,Married,Retired/pensioned,3,61+
CAN,Female,1954,66,10,4,10,Not a religious person,7,Married,Retired/pensioned,1,61+
CAN,Female,1954,66,7,1,6,Not a religious person,6,Divorced,Retired/pensioned,4,61+
CAN,Female,1954,66,7,2,4,Not a religious person,1,Living together as married,Retired/pensioned,3,61+
CAN,Female,1954,66,10,3,10,A religious person,5,Single,Retired/pensioned,2,61+
CAN,Female,1954,66,9,1,10,Not a religious person,8,Married,Retired/pensioned,4,61+
CAN,Male,1954,66,6,3,8,Not a religious person,8,Married,Retired/pensioned,2,61+
CAN,Male,1953,66,8,1,8,A religious person,4,Single,Full time,4,61+
CAN,Female,1954,66,9,1,9,A religious person,5,Married,Retired/pensioned,4,61+
CAN,Male,1954,66,7,4,6,An atheist,7,Living together as married,Retired/pensioned,1,61+
CAN,Female,1954,66,7,2,6,An atheist,3,Married,Part time,3,61+
CAN,Male,1954,66,8,1,6,A religious person,6,Married,Full time,4,61+
CAN,Male,1954,66,9,2,9,A religious person,7,Married,Retired/pensioned,3,61+
CAN,Male,1954,66,7,3,8,An atheist,7,Living together as married,Retired/pensioned,2,61+
CAN,Female,1954,66,8,3,7,A religious person,5,Divorced,Retired/pensioned,2,61+
CAN,Male,1954,66,8,1,8,A religious person,6,Married,Full time,4,61+
CAN,Male,1954,66,9,4,8,Not a religious person,8,Married,Retired/pensioned,1,61+
CAN,Male,1954,66,8,2,7,An atheist,10,Married,Self employed,3,61+
CAN,Female,1954,66,8,2,6,A religious person,6,Living together as married,Retired/pensioned,3,61+
CAN,Female,1954,66,4,4,3,Not a religious person,6,Widowed,Retired/pensioned,1,61+
CAN,Male,1953,66,6,2,6,Not a religious person,5,Married,Part time,3,61+
CAN,Male,1954,66,4,1,2,Not a religious person,1,Divorced,Unemployed,4,61+
CAN,Male,1954,66,7,2,7,Not a religious person,5,Married,Unemployed,3,61+
NZL,Female,1953,66,9,1,9,A religious person,9,Married,Retired/pensioned,4,61+
NZL,Female,1953,66,8,3,7,Not a religious person,6,Married,Retired/pensioned,2,61+
NZL,Male,1953,66,10,2,9,A religious person,9,Married,Retired/pensioned,3,61+
NZL,Female,1953,66,9,2,8,A religious person,10,Married,Retired/pensioned,3,61+
NZL,Female,1953,66,10,2,10,Not a religious person,6,Married,Retired/pensioned,3,61+
NZL,Male,1953,66,9,2,9,A religious person,5,Married,Full time,3,61+
NZL,Male,1953,66,7,1,6,Don't know,1,Living together as married,Full time,4,61+
NZL,Female,1953,66,8,2,8,Not a religious person,7,Married,Retired/pensioned,3,61+
NZL,Female,1953,66,4,1,4,Not a religious person,10,Married,Full time,4,61+
NZL,Female,1953,66,9,2,9,Not a religious person,9,Married,Retired/pensioned,3,61+
NZL,Female,1953,66,7,4,8,A religious person,8,Married,Retired/pensioned,1,61+
NZL,Female,1953,66,6,3,6,Don't know,2,Single,Retired/pensioned,2,61+
NZL,Female,1953,66,10,1,8,Not a religious person,3,Married,Part time,4,61+
NZL,Male,1953,66,9,2,9,An atheist,8,Living together as married,Retired/pensioned,3,61+
NZL,Female,1953,66,8,2,7,Not a religious person,5,Married,Full time,3,61+
NZL,Female,1953,66,9,3,10,Not a religious person,8,Married,Retired/pensioned,2,61+
NZL,Male,1953,66,6,2,4,A religious person,8,Single,Unemployed,3,61+
NZL,Male,1953,66,9,2,9,Not a religious person,7,Married,Part time,3,61+
NZL,Female,1953,66,9,2,9,A religious person,3,Widowed,Full time,3,61+
NZL,Male,1953,66,9,2,8,An atheist,7,Married,Homemaker not otherwise employed,3,61+
NZL,Female,1953,66,6,2,10,An atheist,5,Married,Retired/pensioned,3,61+
NZL,Male,1953,66,10,2,8,A religious person,6,Married,Full time,3,61+
NZL,Female,1953,66,9,1,8,An atheist,2,Married,Part time,4,61+
SGP,Female,1954,66,1,4,1,A religious person,1,Married,Retired/pensioned,1,61+
SGP,Male,1953,66,8,3,8,Not a religious person,5,Single,Retired/pensioned,2,61+
