country,sex,age,marital_status,employment
CAN,Male,22,Single,Unemployed
CAN,Male,60,Married,Self employed
CAN,Male,54,Single,Full time
CAN,Male,28,Married,Full time
CAN,Male,49,Living together as married,Full time
CAN,Male,38,Married,Full time
CAN,Male,60,Living together as married,Retired/pensioned
CAN,Male,35,Single,Full time
CAN,Female,29,Single,Full time
CAN,Male,30,Married,Full time
CAN,Female,88,Widowed,Retired/pensioned
CAN,Male,34,Married,Full time
CAN,Female,20,Single,Student
CAN,Male,75,Married,Retired/pensioned
CAN,Female,71,Widowed,Retired/pensioned
CAN,Male,66,Married,Retired/pensioned
CAN,Female,73,Married,Retired/pensioned
CAN,Male,32,Married,Full time
CAN,Male,70,Married,Retired/pensioned
CAN,Male,34,Married,Full time
CAN,Male,52,Living together as married,Full time
CAN,Female,20,Single,Student
CAN,Male,53,Divorced,Full time
CAN,Female,66,Single,Retired/pensioned
CAN,Female,42,Living together as married,Part time
CAN,Female,26,Living together as married,Full time
CAN,Male,67,Living together as married,Retired/pensioned
CAN,Female,31,Single,Full time
CAN,Female,23,Widowed,Student
CAN,Female,72,Married,Retired/pensioned
CAN,Female,47,Married,Homemaker not otherwise employed
CAN,Male,53,Living together as married,Full time
CAN,Male,51,Single,Retired/pensioned
CAN,Male,47,Divorced,Full time
CAN,Male,49,Living together as married,Other
CAN,Female,32,Married,Full time
CAN,Female,45,Single,Full time
CAN,Male,40,Married,Part time
CAN,Male,71,Married,Retired/pensioned
CAN,Male,28,Single,Full time
CAN,Female,50,Married,Homemaker not otherwise employed
CAN,Female,31,Single,Unemployed
CAN,Female,38,Single,Full time
CAN,Female,41,Married,Full time
CAN,Female,38,Living together as married,Self employed
CAN,Male,58,Single,Full time
CAN,Male,63,Married,Full time
CAN,Female,46,Single,Full time
CAN,Female,39,Divorced,Full time
CAN,Male,68,Married,Retired/pensioned
CAN,Male,30,Single,Full time
CAN,Female,50,Single,Other
CAN,Male,19,Single,Part time
CAN,Male,60,Married,Self employed
CAN,Male,53,Divorced,Full time
CAN,Female,27,Living together as married,Full time
CAN,Female,27,Single,Unemployed
CAN,Female,38,Living together as married,Full time
CAN,Female,70,Divorced,Retired/pensioned
CAN,Male,67,Married,Retired/pensioned
CAN,Female,19,Single,Student
CAN,Female,62,Divorced,Part time
CAN,Male,24,Single,Full time
CAN,Female,31,Single,Part time
CAN,Male,35,Single,Homemaker not otherwise employed
CAN,Male,39,Married,Full time
CAN,Female,23,Single,Full time
CAN,Male,25,Married,Part time
CAN,Female,34,Living together as married,Homemaker not otherwise employed
CAN,Female,59,Married,Retired/pensioned
CAN,Male,50,Married,Full time
CAN,Female,53,Single,Full time
CAN,Male,85,Widowed,Retired/pensioned
CAN,Female,51,Single,Full time
CAN,Male,55,Married,Full time
CAN,Male,32,Married,Full time
CAN,Male,45,Single,Full time
CAN,Male,65,Married,Self employed
CAN,Female,46,Single,Other
CAN,Male,58,Married,Retired/pensioned
CAN,Male,65,Married,Unemployed
CAN,Female,24,Single,Full time
CAN,Female,25,Married,Full time
CAN,Male,20,Single,Part time
CAN,Male,42,Living together as married,Other
CAN,Male,51,Living together as married,Other
CAN,Female,31,Single,Full time
CAN,Female,18,Single,Part time
CAN,Female,21,Single,Part time
CAN,Female,19,Single,Student
CAN,Male,39,Married,Full time
CAN,Female,30,Married,Full time
CAN,Male,57,Married,Full time
CAN,Female,23,Single,Student
CAN,Male,41,Married,Full time
CAN,Male,42,Divorced,Self employed
CAN,Female,66,Married,Retired/pensioned
CAN,Male,31,Single,Full time
CAN,Male,61,Living together as married,Retired/pensioned
CAN,Female,54,Married,Homemaker not otherwise employed
CAN,Male,54,Married,Full time
CAN,Female,25,Single,Full time
CAN,Female,41,Living together as married,Self employed
CAN,Female,21,Single,Part time
CAN,Female,28,Married,Unemployed
CAN,Female,27,Single,Unemployed
CAN,Male,52,Married,Full time
CAN,Male,43,Married,Full time
CAN,Female,36,Married,Full time
CAN,Female,28,Single,Full time
CAN,Female,20,Single,Student
CAN,Male,27,Living together as married,Full time
CAN,Female,33,Married,Homemaker not otherwise employed
CAN,Female,57,Married,Homemaker not otherwise employed
CAN,Female,28,Living together as married,Full time
CAN,Male,75,Living together as married,Retired/pensioned
CAN,Male,43,Single,Retired/pensioned
CAN,Male,47,Married,Full time
CAN,Male,50,Married,Full time
CAN,Female,49,Single,Retired/pensioned
CAN,Male,77,Married,Retired/pensioned
CAN,Female,20,Living together as married,Student
CAN,Female,23,Single,Unemployed
CAN,Male,40,Married,Full time
CAN,Female,48,Married,Other
CAN,Male,48,Married,Full time
CAN,Male,62,Married,Full time
CAN,Female,50,Living together as married,Student
CAN,Male,61,Separated,Retired/pensioned
CAN,Female,79,Widowed,Retired/pensioned
CAN,Male,59,Married,Full time
CAN,Male,38,Living together as married,Full time
CAN,Male,20,Single,Part time
CAN,Female,20,Single,Student
CAN,Female,53,Married,Retired/pensioned
CAN,Female,66,Widowed,Retired/pensioned
CAN,Female,25,Single,Full time
CAN,Female,59,Divorced,Retired/pensioned
CAN,Male,54,Married,Full time
CAN,Male,38,Living together as married,Full time
CAN,Female,24,Single,Full time
CAN,Female,31,Living together as married,Full time
CAN,Female,65,Divorced,Retired/pensioned
CAN,Female,55,Divorced,Other
CAN,Female,44,Married,Homemaker not otherwise employed
CAN,Female,38,Married,Homemaker not otherwise employed
CAN,Female,18,Living together as married,Self employed
CAN,Female,29,Living together as married,Full time
CAN,Female,35,Single,Unemployed
CAN,Female,67,Married,Retired/pensioned
CAN,Male,36,Married,Full time
CAN,Female,65,Living together as married,Retired/pensioned
CAN,Female,27,Single,Full time
CAN,Male,56,Single,Self employed
CAN,Female,68,Living together as married,Full time
CAN,Male,73,Married,Full time
CAN,Female,43,Living together as married,Unemployed
CAN,Male,43,Living together as married,Full time
CAN,Male,65,Married,Retired/pensioned
CAN,Male,36,Living together as married,Full time
CAN,Female,21,Single,Full time
CAN,Female,38,Living together as married,Full time
CAN,Female,49,Married,Homemaker not otherwise employed
CAN,Male,32,Married,Full time
CAN,Male,51,Married,Full time
CAN,Male,36,Married,Full time
CAN,Male,33,Married,Full time
CAN,Male,64,Married,Self employed
CAN,Female,26,Living together as married,Full time
CAN,Male,81,Married,Retired/pensioned
CAN,Female,66,Married,Part time
CAN,Male,79,Married,Self employed
CAN,Female,18,Single,Student
CAN,Male,74,Married,Retired/pensioned
CAN,Female,47,Divorced,Unemployed
CAN,Male,77,Married,Self employed
CAN,Male,46,Married,Full time
CAN,Female,45,Married,Full time
CAN,Male,52,Married,Retired/pensioned
CAN,Male,33,Living together as married,Full time
CAN,Female,23,Single,Student
CAN,Female,77,Widowed,Retired/pensioned
CAN,Female,63,Married,Self employed
CAN,Female,26,Living together as married,Full time
CAN,Female,21,Single,Student
CAN,Male,19,Single,Student
CAN,Male,46,Single,Full time
CAN,Male,71,Married,Retired/pensioned
CAN,Female,18,Single,Full time
CAN,Male,51,Single,Full time
CAN,Male,34,Living together as married,Student
CAN,Male,58,Living together as married,Full time
CAN,Female,77,Divorced,Retired/pensioned
CAN,Female,34,Living together as married,Full time
CAN,Female,41,Married,Full time
CAN,Female,70,Married,Self employed
CAN,Male,66,Married,Retired/pensioned
CAN,Female,49,Married,Full time
CAN,Female,23,Single,Part time
CAN,Female,35,Living together as married,Full time
CAN,Male,75,Separated,Retired/pensioned
CAN,Female,19,Single,Student
CAN,Male,68,Living together as married,Retired/pensioned
CAN,Female,69,Married,Retired/pensioned
CAN,Female,77,Widowed,Retired/pensioned
CAN,Male,31,Married,Full time
CAN,Male,20,Single,Full time
CAN,Male,59,Married,Full time
CAN,Male,72,Married,Retired/pensioned
CAN,Male,26,Single,Part time
CAN,Male,70,Single,Retired/pensioned
CAN,Female,26,Single,Part time
CAN,Male,71,Married,Retired/pensioned
CAN,Female,31,Married,Part time
CAN,Female,31,Married,Homemaker not otherwise employed
CAN,Male,68,Single,Retired/pensioned
CAN,Male,78,Married,Retired/pensioned
CAN,Male,51,Single,Full time
CAN,Female,24,Single,Student
CAN,Male,47,Married,Full time
CAN,Male,30,Single,Full time
CAN,Male,39,Single,Full time
CAN,Male,74,Married,Retired/pensioned
CAN,Female,65,Divorced,Full time
CAN,Male,60,Married,Full time
CAN,Male,23,Single,Part time
CAN,Female,86,Divorced,Retired/pensioned
CAN,Male,63,Living together as married,Retired/pensioned
CAN,Male,35,Living together as married,Unemployed
CAN,Male,33,Married,Full time
CAN,Female,62,Married,Unemployed
CAN,Male,27,Married,Full time
CAN,Male,61,Single,Self employed
CAN,Female,38,Living together as married,Full time
CAN,Male,71,Married,Retired/pensioned
CAN,Male,63,Married,Retired/pensioned
CAN,Female,35,Single,Full time
CAN,Female,76,Married,Retired/pensioned
CAN,Male,82,Married,Retired/pensioned
CAN,Male,54,Single,Full time
CAN,Male,64,Married,Retired/pensioned
CAN,Female,24,Single,Full time
CAN,Male,62,Single,Unemployed
CAN,Male,35,Living together as married,Full time
CAN,Female,25,Married,Full time
CAN,Female,50,Divorced,Full time
CAN,Male,72,Married,Retired/pensioned
CAN,Female,74,Widowed,Retired/pensioned
CAN,Male,71,Single,Retired/pensioned
CAN,Female,30,Married,Part time
CAN,Male,67,Divorced,Retired/pensioned
CAN,Male,68,Married,Retired/pensioned
CAN,Female,31,Married,Full time
CAN,Female,22,Single,Student
CAN,Male,29,Single,Unemployed
CAN,Male,54,Married,Full time
CAN,Male,59,Married,Retired/pensioned
CAN,Male,35,Living together as married,Full time
CAN,Male,42,Married,Full time
CAN,Female,66,Married,Retired/pensioned
CAN,Female,62,Married,Retired/pensioned
CAN,Female,29,Single,Full time
CAN,Female,66,Separated,Retired/pensioned
CAN,Female,67,Married,Retired/pensioned
CAN,Male,33,Married,Full time
CAN,Male,51,Single,Full time
CAN,Male,59,Widowed,Retired/pensioned
CAN,Male,35,Single,Full time
CAN,Male,35,Single,Full time
CAN,Male,30,Married,Full time
CAN,Male,50,Married,Other
CAN,Male,52,Married,Full time
CAN,Female,72,Married,Retired/pensioned
CAN,Male,27,Single,Part time
CAN,Female,19,Single,Full time
CAN,Male,52,Married,Self employed
CAN,Female,74,Married,Full time
CAN,Female,67,Married,Retired/pensioned
CAN,Male,39,Separated,Full time
CAN,Female,48,Single,Unemployed
CAN,Female,37,Living together as married,Part time
CAN,Female,21,Single,Full time
CAN,Female,46,Married,Full time
CAN,Male,44,Single,Full time
CAN,Female,30,Married,Other
CAN,Female,44,Living together as married,Full time
CAN,Male,54,Married,Full time
CAN,Female,48,Divorced,Retired/pensioned
CAN,Male,36,Married,Part time
CAN,Male,67,Separated,Retired/pensioned
CAN,Female,56,Married,Full time
CAN,Female,54,Living together as married,Part time
CAN,Female,22,Single,Part time
CAN,Female,37,Married,Self employed
CAN,Female,36,Single,Full time
CAN,Female,49,Married,Full time
CAN,Female,29,Living together as married,Full time
CAN,Male,51,Married,Unemployed
CAN,Female,31,Single,Full time
CAN,Female,20,Single,Student
CAN,Male,47,Married,Full time
CAN,Male,65,Living together as married,Retired/pensioned
CAN,Female,67,Married,Retired/pensioned
CAN,Male,25,Living together as married,Part time
CAN,Male,56,Married,Full time
CAN,Female,69,Divorced,Retired/pensioned
CAN,Female,21,Living together as married,Student
CAN,Male,28,Married,Full time
CAN,Male,31,Single,Student
CAN,Male,42,Divorced,Homemaker not otherwise employed
CAN,Female,24,Living together as married,Homemaker not otherwise employed
CAN,Female,33,Married,Full time
CAN,Male,37,Single,Full time
CAN,Male,25,Single,Full time
CAN,Female,61,Married,Retired/pensioned
CAN,Female,38,Married,Part time
CAN,Male,59,Married,Retired/pensioned
CAN,Female,18,Single,Student
CAN,Male,31,Married,Full time
CAN,Male,77,Married,Retired/pensioned
CAN,Female,34,Living together as married,Full time
CAN,Female,54,Married,Full time
CAN,Female,22,Single,Full time
CAN,Female,61,Married,Full time
CAN,Female,27,Living together as married,Full time
CAN,Male,73,Married,Retired/pensioned
CAN,Female,37,Single,Student
CAN,Male,47,Living together as married,Full time
CAN,Male,42,Married,Self employed
CAN,Male,40,Living together as married,Full time
CAN,Female,39,Living together as married,Full time
CAN,Female,50,Married,Part time
CAN,Female,19,Single,Student
CAN,Female,25,Married,Part time
CAN,Female,70,Widowed,Retired/pensioned
CAN,Male,18,Single,Student
CAN,Male,25,Single,Unemployed
CAN,Male,41,Married,Full time
CAN,Male,51,Single,Full time
CAN,Male,59,Single,Full time
CAN,Female,59,Single,Full time
CAN,Female,25,Single,Full time
CAN,Male,30,Single,Unemployed
CAN,Male,29,Married,Full time
CAN,Female,30,Living together as married,Part time
CAN,Female,30,Living together as married,Self employed
CAN,Female,56,Single,Full time
CAN,Female,52,Single,Full time
CAN,Female,28,Living together as married,Self employed
CAN,Male,18,Living together as married,Full time
CAN,Female,22,Married,Full time
CAN,Male,26,Single,Student
CAN,Male,41,Married,Full time
CAN,Female,42,Married,Full time
CAN,Female,27,Living together as married,Student
CAN,Female,24,Married,Part time
CAN,Male,60,Married,Full time
CAN,Female,70,Living together as married,Retired/pensioned
CAN,Male,56,Married,Full time
CAN,Male,22,Single,Student
CAN,Female,40,Single,Homemaker not otherwise employed
CAN,Male,47,Single,Full time
CAN,Female,50,Single,Full time
CAN,Female,66,Single,Retired/pensioned
CAN,Male,29,Single,Full time
CAN,Male,63,Living together as married,Retired/pensioned
CAN,Male,26,Single,Full time
CAN,Female,32,Living together as married,Full time
CAN,Male,42,Married,Full time
CAN,Female,32,Single,Full time
CAN,Male,33,Single,Full time
CAN,Male,53,Married,Full time
CAN,Female,72,Married,Retired/pensioned
CAN,Female,27,Single,Self employed
CAN,Female,38,Married,Self employed
CAN,Female,27,Living together as married,Self employed
CAN,Male,58,Married,Full time
CAN,Female,33,Married,Full time
CAN,Female,19,Single,Student
CAN,Male,56,Married,Retired/pensioned
CAN,Male,53,Married,Part time
CAN,Male,38,Married,Full time
CAN,Male,46,Married,Unemployed
CAN,Female,25,Single,Full time
CAN,Male,64,Married,Retired/pensioned
CAN,Male,23,Single,Full time
CAN,Male,20,Single,Student
CAN,Male,62,Divorced,Retired/pensioned
CAN,Male,28,Married,Full time
CAN,Female,37,Married,Homemaker not otherwise employed
CAN,Female,41,Living together as married,Full time
CAN,Female,37,Living together as married,Full time
CAN,Female,66,Married,Retired/pensioned
CAN,Female,31,Separated,Full time
CAN,Female,66,Married,Retired/pensioned
CAN,Male,33,Single,Full time
CAN,Male,25,Single,Full time
CAN,Male,43,Married,Full time
CAN,Female,77,Married,Retired/pensioned
CAN,Female,38,Single,Full time
CAN,Male,54,Single,Unemployed
CAN,Female,32,Single,Full time
CAN,Male,46,Living together as married,Full time
CAN,Female,26,Single,Full time
CAN,Male,46,Single,Full time
CAN,Female,30,Living together as married,Student
CAN,Female,73,Divorced,Retired/pensioned
CAN,Male,51,Married,Full time
CAN,Female,67,Married,Retired/pensioned
CAN,Male,26,Single,Full time
CAN,Female,77,Widowed,Retired/pensioned
CAN,Male,27,Single,Student
CAN,Male,42,Married,Full time
CAN,Female,53,Married,Part time
CAN,Female,40,Married,Self employed
CAN,Female,29,Single,Full time
CAN,Female,59,Single,Other
CAN,Male,67,Married,Full time
CAN,Female,79,Married,Retired/pensioned
CAN,Female,34,Single,Full time
CAN,Female,31,Living together as married,Full time
CAN,Female,26,Living together as married,Full time
CAN,Female,19,Single,Student
CAN,Male,32,Living together as married,Full time
CAN,Male,29,Married,Full time
CAN,Male,23,Single,Student
CAN,Male,53,Married,Unemployed
CAN,Female,74,Divorced,Retired/pensioned
CAN,Female,66,Married,Retired/pensioned
CAN,Female,58,Single,Full time
CAN,Male,21,Married,Full time
CAN,Female,23,Single,Student
CAN,Female,66,Married,Retired/pensioned
CAN,Male,61,Living together as married,Retired/pensioned
CAN,Male,50,Married,Full time
CAN,Female,29,Single,Full time
CAN,Female,53,Married,Full time
CAN,Female,71,Married,Retired/pensioned
CAN,Female,56,Married,Full time
CAN,Male,62,Living together as married,Retired/pensioned
CAN,Female,63,Married,Retired/pensioned
CAN,Female,37,Single,Full time
CAN,Female,45,Single,Unemployed
CAN,Male,23,Married,Full time
CAN,Male,38,Single,Unemployed
CAN,Male,39,Married,Full time
CAN,Female,61,Married,Full time
CAN,Female,60,Separated,Retired/pensioned
CAN,Female,24,Living together as married,Full time
CAN,Male,36,Living together as married,Full time
CAN,Male,23,Living together as married,Student
CAN,Male,53,Married,Full time
CAN,Female,35,Living together as married,Full time
CAN,Female,51,Married,Part time
CAN,Female,61,Married,Unemployed
CAN,Female,31,Married,Full time
CAN,Female,49,Married,Full time
CAN,Male,65,Single,Full time
CAN,Female,53,Married,Unemployed
CAN,Male,22,Married,Full time
CAN,Male,36,Married,Full time
CAN,Female,43,Living together as married,Self employed
CAN,Female,68,Separated,Retired/pensioned
CAN,Male,25,Single,Part time
CAN,Female,58,Married,Full time
CAN,Female,40,Single,Full time
CAN,Male,68,Living together as married,Retired/pensioned
CAN,Male,64,Single,Self employed
CAN,Male,84,Married,Retired/pensioned
CAN,Female,73,Married,Retired/pensioned
CAN,Female,52,Married,Full time
CAN,Female,25,Single,Unemployed
CAN,Male,74,Married,Retired/pensioned
CAN,Female,43,Married,Other
CAN,Female,20,Living together as married,Student
CAN,Female,31,Living together as married,Self employed
CAN,Male,48,Single,Other
CAN,Female,30,Married,Full time
CAN,Female,23,Single,Student
CAN,Female,32,Married,Full time
CAN,Male,43,Married,Full time
CAN,Male,47,Separated,Full time
CAN,Female,56,Single,Full time
CAN,Female,26,Living together as married,Full time
CAN,Male,30,Married,Full time
CAN,Female,32,Married,Full time
CAN,Female,22,Married,Homemaker not otherwise employed
CAN,Male,28,Living together as married,Homemaker not otherwise employed
CAN,Female,40,Single,Student
CAN,Male,60,Married,Full time
CAN,Male,71,Married,Retired/pensioned
CAN,Female,18,Single,Student
CAN,Male,48,Married,Full time
CAN,Male,21,Single,Student
CAN,Male,58,Married,Full time
CAN,Female,39,Separated,Full time
CAN,Female,32,Married,Full time
CAN,Female,34,Single,Unemployed
CAN,Female,27,Married,Homemaker not otherwise employed
CAN,Female,39,Single,Unemployed
CAN,Female,26,Single,Full time
CAN,Male,27,Single,Full time
CAN,Female,55,Married,Full time
CAN,Male,72,Married,Retired/pensioned
CAN,Female,20,Single,Part time
CAN,Female,32,Married,Full time
CAN,Male,38,Separated,Full time
CAN,Female,32,Married,Full time
CAN,Male,29,Married,Full time
CAN,Female,23,Single,Part time
CAN,Female,50,Married,Part time
CAN,Female,74,Married,Retired/pensioned
CAN,Female,49,Single,Full time
CAN,Female,28,Single,Full time
CAN,Male,44,Separated,Full time
CAN,Female,33,Living together as married,Full time
CAN,Female,53,Living together as married,Full time
CAN,Male,30,Married,Full time
CAN,Female,54,Married,Retired/pensioned
CAN,Female,20,Single,Part time
CAN,Male,28,Living together as married,Unemployed
CAN,Male,52,Single,Part time
CAN,Female,51,Married,Full time
CAN,Female,27,Married,Full time
CAN,Male,43,Single,Full time
CAN,Female,32,Married,Unemployed
CAN,Male,27,Single,Full time
CAN,Male,35,Married,Full time
CAN,Male,34,Married,Full time
CAN,Male,46,Single,Full time
CAN,Male,50,Single,Full time
CAN,Female,58,Married,Full time
CAN,Male,29,Single,Full time
CAN,Male,24,Single,Self employed
CAN,Male,33,Married,Full time
CAN,Male,30,Married,Full time
CAN,Female,71,Married,Part time
CAN,Female,27,Single,Full time
CAN,Female,40,Living together as married,Full time
CAN,Female,29,Married,Part time
CAN,Female,27,Married,Full time
CAN,Male,34,Married,Full time
CAN,Female,50,Single,Student
CAN,Female,43,Married,Full time
CAN,Female,48,Single,Full time
CAN,Male,50,Living together as married,Full time
CAN,Female,20,Single,Student
CAN,Male,23,Single,Full time
CAN,Female,60,Living together as married,Full time
CAN,Female,56,Married,Full time
CAN,Male,66,Married,Retired/pensioned
CAN,Female,65,Married,Retired/pensioned
CAN,Female,41,Married,Homemaker not otherwise employed
CAN,Female,39,Living together as married,Full time
CAN,Female,36,Married,Full time
CAN,Female,30,Single,Full time
CAN,Female,55,Married,Full time
CAN,Female,49,Married,Full time
CAN,Male,38,Married,Full time
CAN,Male,19,Single,Student
CAN,Male,28,Married,Full time
CAN,Female,58,Living together as married,Homemaker not otherwise employed
CAN,Male,68,Married,Retired/pensioned
CAN,Male,32,Married,Full time
CAN,Male,29,Living together as married,Student
CAN,Female,56,Living together as married,Part time
CAN,Female,38,Married,Full time
CAN,Female,20,Single,Student
CAN,Male,26,Single,Full time
CAN,Male,40,Married,Self employed
CAN,Male,80,Married,Retired/pensioned
CAN,Male,41,Married,Full time
CAN,Female,48,Living together as married,Full time
CAN,Male,49,Divorced,Other
CAN,Female,52,Widowed,Homemaker not otherwise employed
CAN,Male,32,Married,Full time
CAN,Female,36,Married,Full time
CAN,Male,46,Living together as married,Full time
CAN,Female,39,Married,Part time
CAN,Male,75,Married,Retired/pensioned
CAN,Male,33,Single,Unemployed
CAN,Male,42,Single,Student
CAN,Female,33,Single,Part time
CAN,Female,21,Living together as married,Student
CAN,Female,62,Single,Unemployed
CAN,Male,33,Single,Unemployed
CAN,Male,22,Single,Student
CAN,Female,38,Single,Full time
CAN,Female,27,Single,Student
CAN,Female,80,Married,Retired/pensioned
CAN,Female,62,Living together as married,Full time
CAN,Female,26,Single,Student
CAN,Female,30,Living together as married,Part time
CAN,Male,21,Living together as married,Student
CAN,Female,44,Single,Unemployed
CAN,Male,39,Married,Full time
CAN,Female,27,Single,Full time
CAN,Female,32,Married,Full time
CAN,Male,32,Married,Full time
CAN,Female,37,Single,Full time
CAN,Female,22,Living together as married,Full time
CAN,Female,67,Married,Retired/pensioned
CAN,Male,18,Single,Part time
CAN,Male,45,Single,Student
CAN,Female,52,Married,Homemaker not otherwise employed
CAN,Female,46,Living together as married,Full time
CAN,Male,53,Single,Part time
CAN,Male,19,Single,Student
CAN,Male,19,Single,Student
CAN,Male,34,Married,Full time
CAN,Male,38,Living together as married,Full time
CAN,Male,62,Widowed,Self employed
CAN,Female,41,Single,Part time
CAN,Female,22,Single,Student
CAN,Male,71,Divorced,Part time
CAN,Female,21,Single,Student
CAN,Male,23,Single,Part time
CAN,Male,20,Single,Full time
CAN,Female,39,Single,Unemployed
CAN,Female,76,Living together as married,Retired/pensioned
CAN,Female,19,Single,Student
CAN,Male,44,Single,Full time
CAN,Female,29,Living together as married,Full time
CAN,Female,25,Single,Student
CAN,Female,39,Living together as married,Full time
CAN,Male,47,Single,Self employed
CAN,Female,44,Living together as married,Full time
CAN,Male,52,Single,Full time
CAN,Female,62,Living together as married,Retired/pensioned
CAN,Male,60,Single,Self employed
CAN,Female,63,Married,Retired/pensioned
CAN,Female,66,Married,Retired/pensioned
CAN,Female,30,Married,Full time
CAN,Male,37,Living together as married,Full time
CAN,Male,30,Living together as married,Full time
CAN,Male,41,Single,Full time
CAN,Female,38,Married,Full time
CAN,Male,66,Married,Full time
CAN,Female,60,Separated,Full time
CAN,Male,43,Living together as married,Full time
CAN,Female,55,Single,Unemployed
CAN,Male,60,Divorced,Full time
CAN,Female,56,Divorced,Full time
CAN,Male,62,Divorced,Retired/pensioned
CAN,Male,67,Married,Retired/pensioned
CAN,Female,28,Living together as married,Full time
CAN,Female,70,Single,Retired/pensioned
CAN,Female,32,Single,Part time
CAN,Female,49,Married,Full time
CAN,Female,39,Single,Unemployed
CAN,Female,68,Separated,Retired/pensioned
CAN,Female,23,Living together as married,Full time
CAN,Male,72,Married,Retired/pensioned
CAN,Female,26,Living together as married,Full time
CAN,Male,66,Divorced,Retired/pensioned
CAN,Male,34,Married,Self employed
CAN,Male,60,Widowed,Full time
CAN,Male,52,Living together as married,Full time
CAN,Male,24,Single,Part time
CAN,Male,68,Living together as married,Self employed
CAN,Male,26,Living together as married,Part time
CAN,Female,58,Married,Retired/pensioned
CAN,Male,29,Single,Unemployed
CAN,Male,46,Living together as married,Full time
CAN,Male,47,Married,Full time
CAN,Female,67,Living together as married,Self employed
CAN,Male,38,Separated,Full time
CAN,Female,23,Single,Full time
CAN,Male,26,Single,Full time
CAN,Male,21,Single,Full time
CAN,Female,24,Living together as married,Student
CAN,Female,69,Widowed,Retired/pensioned
CAN,Female,74,Married,Retired/pensioned
CAN,Female,77,Divorced,Retired/pensioned
CAN,Female,52,Married,Full time
CAN,Male,54,Married,Part time
CAN,Male,28,Single,Full time
CAN,Female,73,Widowed,Retired/pensioned
CAN,Male,72,Married,Retired/pensioned
CAN,Male,60,Married,Self employed
CAN,Male,59,Single,Full time
CAN,Male,19,Single,Student
CAN,Male,45,Single,Full time
CAN,Female,49,Married,Full time
CAN,Male,82,Married,Retired/pensioned
CAN,Female,62,Married,Self employed
CAN,Male,61,Single,Other
CAN,Male,61,Widowed,Self employed
CAN,Male,67,Married,Retired/pensioned
CAN,Male,59,Married,Full time
CAN,Male,38,Married,Full time
CAN,Female,27,Living together as married,Full time
CAN,Male,30,Married,Full time
CAN,Male,46,Living together as married,Full time
CAN,Male,55,Married,Retired/pensioned
CAN,Male,51,Divorced,Full time
CAN,Male,49,Divorced,Other
CAN,Female,36,Single,Full time
CAN,Female,23,Single,Full time
CAN,Female,38,Living together as married,Homemaker not otherwise employed
CAN,Female,46,Married,Full time
CAN,Male,65,Married,Retired/pensioned
CAN,Female,66,Widowed,Retired/pensioned
CAN,Male,67,Married,Retired/pensioned
CAN,Male,33,Married,Full time
CAN,Male,73,Married,Retired/pensioned
CAN,Female,63,Married,Retired/pensioned
CAN,Male,78,Married,Retired/pensioned
CAN,Female,29,Married,Unemployed
CAN,Female,74,Married,Retired/pensioned
CAN,Female,59,Divorced,Retired/pensioned
CAN,Male,47,Divorced,Full time
CAN,Female,41,Married,Homemaker not otherwise employed
CAN,Male,69,Married,Retired/pensioned
CAN,Male,64,Married,Full time
CAN,Female,54,Married,Part time
CAN,Female,30,Living together as married,Full time
CAN,Female,29,Living together as married,Full time
CAN,Male,31,Single,Retired/pensioned
CAN,Male,53,Single,Full time
CAN,Female,41,Separated,Full time
CAN,Female,23,Single,Full time
CAN,Male,66,Married,Retired/pensioned
CAN,Female,25,Single,Student
CAN,Male,37,Widowed,Unemployed
CAN,Male,59,Married,Retired/pensioned
CAN,Male,57,Single,Retired/pensioned
CAN,Female,25,Single,Self employed
CAN,Male,80,Married,Retired/pensioned
CAN,Female,22,Single,Part time
CAN,Female,39,Married,Full time
CAN,Male,64,Married,Retired/pensioned
CAN,Male,68,Divorced,Retired/pensioned
CAN,Female,55,Living together as married,Other
CAN,Female,66,Single,Retired/pensioned
CAN,Male,31,Living together as married,Full time
CAN,Female,31,Married,Full time
CAN,Female,74,Divorced,Retired/pensioned
CAN,Male,76,Married,Retired/pensioned
CAN,Male,31,Living together as married,Part time
CAN,Female,26,Living together as married,Full time
CAN,Male,58,Single,Full time
CAN,Male,65,Married,Retired/pensioned
CAN,Female,46,Married,Homemaker not otherwise employed
CAN,Female,54,Married,Part time
CAN,Female,47,Divorced,Full time
CAN,Male,62,Married,Part time
CAN,Female,21,Single,Student
CAN,Female,65,Single,Retired/pensioned
CAN,Female,45,Married,Homemaker not otherwise employed
CAN,Male,25,Single,Unemployed
CAN,Female,25,Separated,Full time
CAN,Female,26,Married,Full time
CAN,Male,46,Single,Full time
CAN,Male,47,Married,Retired/pensioned
CAN,Male,19,Single,Student
CAN,Female,43,Single,Full time
CAN,Male,65,Divorced,Retired/pensioned
CAN,Female,69,Married,Retired/pensioned
CAN,Female,57,Married,Retired/pensioned
CAN,Male,70,Married,Part time
CAN,Female,51,Single,Part time
CAN,Female,43,Living together as married,Unemployed
CAN,Female,18,Single,Student
CAN,Male,67,Living together as married,Full time
CAN,Female,48,Married,Full time
CAN,Female,26,Single,Student
CAN,Female,24,Divorced,Full time
CAN,Male,46,Single,Part time
CAN,Male,31,Married,Student
CAN,Female,59,Single,Self employed
CAN,Female,73,Married,Retired/pensioned
